,Day since activation,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,1,0.19839665493489697,0.1558551695908485,0.12804732107910724,0.1086770490389468,0.09453380697054327,0.2024089190346964,0.15871121312542877,0.13007169031367818,0.11008118909812961,0.09545988920594765,0.2062326221222985,0.16150792924292967,0.13212636838645014,0.11158132766939018,0.09653241323978408,0.20986512582912792,0.16421762490164102,0.13416632465072856,0.11311957076647906,0.09768337895839266,0.21331331504938136,0.16682882456042608,0.13616744676382686,0.11466252159844638,0.09887218651897837,0.2165879941155048,0.1693384461863279,0.13811712122633052,0.11619060948128412,0.10007391754059848,0.21970123322780938,0.17174778840972016,0.1400092601437661,0.11769237781328792,0.10127301638781555,0.22266510477529003,0.1740603928394918,0.14184155379046268,0.1191612750333841,0.1024597083657148,0.22549109930749187,0.17628087533193987,0.14361389774421524,0.12059377971676262,0.10362788438288946,0.22818988144100605,0.17841427772842283,0.14532746714518543,0.1219882695568091,0.10477380848721052,0.2307712169085071,0.1804657077469097,0.1469841603747405,0.12334432104457828,0.10589530542395698,0.2332439845128702,0.18244014208073472,0.1485862599036211,0.12466226656836622,0.1069912376200027,0.2356162281266293,0.1843423233917439,0.15013622392753556,0.12594290957579218,0.10806116169124091,0.23789522523392803,0.18617671176336895,0.15163655832742698,0.12718733904428633,0.10910509906119197,0.2400875597834933,0.18794746772081938,0.15308973873026852,0.12839680757534952,0.11012338066777042
1,2,0.3642883212035688,0.29228387622766916,0.24330441486763577,0.20831033391274598,0.1823131907658892,0.3705044399194781,0.29698585224425206,0.24676599276186528,0.2107737315575879,0.18396799161520697,0.37640046206214983,0.3015750148874839,0.25027122589813283,0.21340124483041226,0.18588233046534966,0.3819765250659231,0.30600717402538213,0.25374324238405066,0.21609090450753687,0.1879341383490803,0.3872471096245154,0.3102650611991941,0.2571413581924865,0.21878414385261777,0.19005065571938592,0.39223224091348885,0.31434519173036557,0.26044471054645363,0.22144686794810517,0.19218735228193645,0.3969533936784305,0.31825115757210887,0.26364362629730087,0.224059315385083,0.19431654463497336,0.4014315941868245,0.32199007753956665,0.26673486347767916,0.2266103641723166,0.196420939680195,0.40568658368742033,0.3255706736879458,0.2697188955412682,0.2290942081386552,0.1984898211028703,0.4097365040510994,0.32900221724592094,0.27259831951804747,0.23150835517580662,0.20051672022244205,0.41359784003041034,0.3322939531637674,0.27537690448724916,0.23385239046862827,0.20249795309278193,0.4172854840496846,0.3354547937179957,0.2780590154652695,0.23612719653474956,0.20443167990467231,0.4208128548614307,0.3384931654156442,0.28064926261841827,0.2383344533860795,0.20631728825047474,0.42419203486832585,0.34141694368642195,0.2831522882841366,0.24047631438126452,0.20815498211537178,0.4274339083697216,0.3442334375773166,0.28557263950707584,0.242555194394549,0.20994550431580963
2,3,0.5022600646904892,0.41129284168841346,0.34679485344586064,0.29948640965680806,0.2637067414604254,0.5093885469648513,0.41705219168581187,0.3512102544319629,0.30271511153007036,0.26591793856226176,0.5161190973896141,0.42265535472863636,0.35567116296446055,0.30615338713619117,0.2684731319413298,0.5224567924119117,0.4280499803597241,0.36007973272064864,0.3096670930224823,0.27120848049632706,0.5284226246783557,0.4332169344291222,0.36438479306706256,0.3131795192693702,0.27402649177037464,0.5340433013361763,0.4381539016972328,0.3685606459729127,0.3166463053782261,0.2768676679785018,0.5393465820040915,0.44286705430002726,0.37259589680031163,0.32004200048551174,0.27969517515541614,0.5443591807986599,0.4473666716207837,0.3764873102961979,0.3233525175954728,0.2824861411833954,0.5491058919249012,0.45166478834220575,0.38023631508139755,0.3265707336207699,0.285226515706962,0.5536093065941216,0.45577392202674244,0.38384696335254465,0.3296938436486048,0.28790793208095655,0.5578898128733186,0.45970639131339747,0.387324717934953,0.3327217299372829,0.29052573808798676,0.5619657246785146,0.46347396356126014,0.39067572307770965,0.3356559362864915,0.2930777313425561,0.5658534624834964,0.46708768830460967,0.39390636458697165,0.33849901312544456,0.29556333148906266,0.5695677470022746,0.4705578356719298,0.39702300616041775,0.3412540946997361,0.29798302967864837,0.5731217870432999,0.4738938934518025,0.40003183448380375,0.3439246243075794,0.30033801773534885
3,4,0.6162670636531528,0.514690348355362,0.439465339041658,0.382756837255205,0.33906485958773797,0.6234195202202869,0.5209035060119939,0.4444414329081068,0.3865023672145683,0.34168289745639646,0.6301429631137431,0.5269293294378498,0.4494576208181277,0.3904847341770852,0.3447049577644266,0.6364474685415891,0.532713315892773,0.45440391048645185,0.3945477809951255,0.34793621516032486,0.6423584926682319,0.5382370224514458,0.45922347485384507,0.3986026007318413,0.3512609381630405,0.6479065459039507,0.5435000583191878,0.46388839380999713,0.4025981243317938,0.3546086995178319,0.6531225637950412,0.5485109793756497,0.4683868914146625,0.4065053556285517,0.3579360820711398,0.6580358902854425,0.5532825337563736,0.47271633093360654,0.41030852350971536,0.36121628849873755,0.6626734914791845,0.5578291329326805,0.4768792422743695,0.4139999281368898,0.36443300376292087,0.6670597529403179,0.5621655017406323,0.480881013151319,0.4175768470802007,0.3675766497860657,0.6712165480239674,0.5663059694386456,0.48472852414238005,0.4210396323821569,0.3706420371355174,0.6751634234347333,0.5702641154643909,0.48842933408107675,0.42439051741843015,0.37362685896038855,0.6789178259807301,0.5740526131268574,0.4919911934533658,0.4276328578143855,0.3765307067859574,0.682495333502924,0.5776831834902988,0.49542175666646543,0.4307706436209454,0.3793544173557344,0.6859098728064879,0.5811666095334642,0.49872841640685134,0.4338081841297653,0.3820996337976561
4,5,0.7097206951170192,0.6041056343683855,0.522191351893472,0.45864019958692737,0.40872061124297804,0.7163199895418216,0.6103226682951644,0.5274132389978218,0.4626945949923196,0.4116165976306911,0.7224971217621882,0.6163339792465166,0.5326657447561066,0.46699869447370224,0.4149559500682138,0.7282660061553591,0.6220870507774441,0.5378337809330164,0.4713829134336368,0.4185222570887963,0.7336541573376434,0.6275656431000397,0.542858620312572,0.47575112483668747,0.42218718531851407,0.7386931001241209,0.6327714668136014,0.547712065638526,0.4800484860693729,0.4258728621483275,0.7434141558849615,0.6377149620002129,0.5523828769830533,0.48424418825837234,0.42953148309514716,0.7478466710841323,0.6424105169561448,0.5568693392682137,0.4883217787768586,0.4331337230572298,0.75201738068397,0.6468739496107161,0.5611750609904308,0.4922735303271526,0.4366618908191202,0.755950298981073,0.6511211818010327,0.565306543078517,0.49609706637560674,0.4401057537006264,0.7596668474211081,0.6551675580330889,0.5692717498240971,0.4997932903484134,0.4434599219803743,0.7631860784068166,0.6590275178999546,0.5730792623989075,0.5033650910844294,0.4467221736178321,0.7665249267704566,0.6627144636628924,0.5767377783463224,0.506816522304352,0.4498923613378265,0.769698456648969,0.6662407347948878,0.5802558198985871,0.5101522777632723,0.4529716888789283,0.7727200895968774,0.6696176396728413,0.5836415697776617,0.5133773541556287,0.4559622260032986
5,6,0.7855628680176573,0.6810063992608879,0.5957823864500881,0.5276240030759405,0.47299054402577034,0.7912692978763783,0.6869041780724516,0.6010027175209761,0.5318152999724044,0.476054305628431,0.7965888765352716,0.6925900127902488,0.606242493878514,0.5362579876211123,0.47958342953296024,0.8015376265177864,0.6980160359181562,0.6113870392778559,0.5407762212548969,0.48334803916287283,0.8061427850011593,0.7031689489867716,0.6163785709157523,0.5452707647989559,0.4872120515687741,0.8104344734066807,0.7080523565159382,0.6211900079691547,0.5496853882826221,0.49109312839416147,0.8144421136469572,0.7126779217463968,0.6258112281649102,0.5539888454342676,0.49494093799926625,0.8181929796107964,0.7170608130775872,0.6302415592657361,0.5581647680099545,0.49872479564249617,0.8217117270292356,0.7212173293043215,0.6344855488479242,0.5622057923339981,0.5024263627229429,0.8250203683564516,0.7251636678280858,0.638550527216858,0.5661100454566009,0.5060351959869869,0.828138440288499,0.7289153064081049,0.642445183160674,0.5698789939188265,0.509545961988572,0.8310832431854731,0.7324867187084432,0.64617872683616,0.5735161029620154,0.5129566553182772,0.8338700951244727,0.7358912719061405,0.6497604000474675,0.5770259899040665,0.516267438227422,0.8365125744718895,0.7391412224206448,0.6531991952458311,0.5804138851873556,0.5194798738661931,0.8390227402699498,0.7422477627120166,0.6565037012175572,0.5836852883363266,0.5225964138357796
6,7,0.8463302074137405,0.7467146039922606,0.6609868058234765,0.5901664714763991,0.5321754655902874,0.850982452049521,0.752073887446234,0.6660163103099505,0.5943546023335573,0.5353137523987875,0.8553023108115311,0.7572258214311484,0.6710540697070386,0.598787336897558,0.5389250096597143,0.859306083102623,0.7621287078253939,0.6759899995378268,0.6032884632929384,0.5427728458833712,0.8630187417935898,0.7667723770113399,0.6807693387820506,0.6077589772652506,0.5467175638619389,0.866467123711027,0.7711618894856859,0.6853670675431556,0.6121431659785964,0.5506748809510453,0.8696770642302366,0.7753094175747791,0.6897745019947842,0.616410412927955,0.5545934962539524,0.8726722885559073,0.7792300956554724,0.6939919880462649,0.6205450006211619,0.5584423293006238,0.8754740962940717,0.7829398780804993,0.6980247988061427,0.6245401906866769,0.5622029825712992,0.8781013986487157,0.7864544450544223,0.7018807816361967,0.6283946884641474,0.5658651488185895,0.8805709019695057,0.7897886673256432,0.7055689912084638,0.6321104836838735,0.5694237394540409,0.882897340468405,0.7929563722226335,0.7090988924492485,0.6356915087269909,0.5728770501955334,0.8850937130648636,0.7959702720501448,0.7124798994137427,0.6391427946584062,0.5762255685416059,0.8871715046331092,0.7988419784251574,0.7157211150515796,0.642469936582829,0.5794711874908364,0.8891408842457899,0.8015820600464135,0.7188311921895835,0.6456787544936043,0.5826166814617038
7,8,0.8942094751127985,0.8024207313942071,0.7184963422393524,0.6466982378638374,0.5865611864901574,0.8977776085433672,0.8071066657617032,0.723195442102822,0.650771308275079,0.5896960147532574,0.9010783656554223,0.8115988309954293,0.7278927208483258,0.6550759847777087,0.5932996520860454,0.9041267064525911,0.8158623563970238,0.7324857299909524,0.6594404417353779,0.5971350716769391,0.9069438673135013,0.8198900187279667,0.7369241684047189,0.6637685655830886,0.6010624441655728,0.9095521337695415,0.823687785756413,0.7411856613278147,0.6680066446228328,0.6049976493368501,0.911972691215207,0.8272676522283656,0.7452630869060148,0.6721254954319704,0.6088897037328453,0.9142248327496344,0.8306440045122805,0.74915768516998,0.6761104511641228,0.6127079139541114,0.9163257707206363,0.833831763714944,0.7528752017864333,0.6799555562788575,0.61643428941369,0.918290710110563,0.836845452389061,0.7564236863823236,0.6836601057507694,0.6200589218842476,0.920133025507981,0.8396987504294706,0.7598122211789449,0.6872265363756918,0.6235770993144534,0.9218644682917029,0.8424043123741114,0.7630501857134439,0.6906591205149657,0.6269874646871056,0.923495370870084,0.8449737237513477,0.7661468363705578,0.6939631476499145,0.6302908212001666,0.9250348341136838,0.8474175296118089,0.7691110732789179,0.6971444084799099,0.633489346216997,0.9264908933553718,0.849745298351964,0.7719513195797353,0.7002088697707745,0.636586068765332
8,9,0.9310854229594683,0.8491966568932086,0.7689502692159972,0.6976239405627227,0.6364192289303519,0.9336337589824013,0.853142218181704,0.7732216668164872,0.701494853851947,0.6394863533198438,0.9359826674926894,0.8569144860706716,0.777482976070798,0.7055800429745598,0.6430086660485903,0.9381445646271884,0.8604854448849293,0.7816414657337797,0.709715806805039,0.6467534082498605,0.9401360714470395,0.8638504089834362,0.7856522060064299,0.7138109804136031,0.6505835071858471,0.9419742836642906,0.8670156844737409,0.7894957676792563,0.717814972398628,0.6544167375838708,0.9436752744919336,0.8699924863051972,0.7931665705932454,0.7217006116218414,0.6582034777260853,0.9452535721115399,0.8727938742384836,0.7966665636348491,0.7254545445208758,0.6619140442163444,0.9467220640080587,0.8754332045603688,0.800001700096222,0.7290716737195753,0.6655312127567574,0.9480920816552739,0.8779233649165983,0.8031799345345831,0.7325518485918588,0.6690456660895693,0.9493735527249287,0.8802764210933793,0.8062100731248556,0.7358978536537691,0.672453153340334,0.9505751693803868,0.8825034818775069,0.8091011143447782,0.7391141663150637,0.6757526804225852,0.9517045500408023,0.8846146783699577,0.8118618764970433,0.742206181610055,0.6789453377912501,0.9527683856632873,0.8866192014856341,0.814500795120837,0.745179725983306,0.6820335309650466,0.9537725680149254,0.888525366847711,0.8170258216643658,0.7480407528797044,0.6850204704480497
9,10,0.9585821117537359,0.8880072647882123,0.8129392693340041,0.7433237284194475,0.682007502966091,0.9602400383329803,0.8911992509908939,0.816721408742646,0.7469271294642663,0.6849550091230295,0.9617629797400228,0.8942431292921084,0.820487353768976,0.7507246878715973,0.688336654934307,0.963160120214994,0.8971173259007794,0.8241553625430507,0.7545636654001076,0.6919279649797835,0.9644431945504809,0.8998191695864032,0.8276863597839089,0.7583593770363342,0.6955969746858663,0.9656240668692915,0.9023547816409742,0.8310639437964337,0.7620651563657864,0.6992647498028655,0.9667137830766298,0.9047341172656355,0.8342839564658356,0.7656562350967484,0.7028838589001264,0.9677222598703693,0.9069684864123598,0.8373488396794894,0.769120724007679,0.7064261111177393,0.9686582481346067,0.9090693147643617,0.840264498735473,0.7724543959858198,0.7098753159237159,0.9695294090559166,0.9110475421283034,0.8430385279673422,0.775657587194194,0.713222879121408,0.9703424298288387,0.9129133538014544,0.8456791987113476,0.7787333180552137,0.7164650573460537,0.9711031461894343,0.9146760865239485,0.8481948839009464,0.7816861365139128,0.7196012115275469,0.9718166578003639,0.9163442247797486,0.8505937370911899,0.7845213990184626,0.7226326775325389,0.9724874313016367,0.9179254420013679,0.8528835214372446,0.7872448219046283,0.7255620265088547,0.9731193898978069,0.9194266620197898,0.8550715274855168,0.7898622024376584,0.7283925759380653
