"date" "smoothedCases" "minNTrue"
"700" "2023-01-01" 24088 151156
"701" "2023-01-02" 23312 150200
"702" "2023-01-03" 22544 149338
"703" "2023-01-04" 21777 148578
"704" "2023-01-05" 21005 147938
"705" "2023-01-06" 20222 147427
"706" "2023-01-07" 19426 147057
"707" "2023-01-08" 18618 146839
"708" "2023-01-09" 17800 146785
"709" "2023-01-10" 16981 146893
"710" "2023-01-11" 16169 147168
"711" "2023-01-12" 15374 147601
"712" "2023-01-13" 14606 148181
"713" "2023-01-14" 13875 148893
"714" "2023-01-15" 13190 149711
"715" "2023-01-16" 12559 150605
"716" "2023-01-17" 11991 151546
"717" "2023-01-18" 11491 152496
"718" "2023-01-19" 11063 153415
"719" "2023-01-20" 10713 154266
"720" "2023-01-21" 10439 155023
"721" "2023-01-22" 10243 155666
"722" "2023-01-23" 10122 156194
"723" "2023-01-24" 10069 156620
"724" "2023-01-25" 10078 156977
"725" "2023-01-26" 10140 157306
"726" "2023-01-27" 10247 157658
"727" "2023-01-28" 10387 158090
"728" "2023-01-29" 10551 158652
"729" "2023-01-30" 10729 159391
"730" "2023-01-31" 10914 160345
"731" "2023-02-01" 11097 161535
"732" "2023-02-02" 11275 162983
"733" "2023-02-03" 11443 164689
"734" "2023-02-04" 11599 166643
"735" "2023-02-05" 11745 168822
"736" "2023-02-06" 11880 171188
"737" "2023-02-07" 12007 173684
"738" "2023-02-08" 12131 176244
"739" "2023-02-09" 12254 178787
"740" "2023-02-10" 12380 181220
"741" "2023-02-11" 12512 183447
"742" "2023-02-12" 12652 185372
"743" "2023-02-13" 12803 186913
"744" "2023-02-14" 12964 187998
"745" "2023-02-15" 13136 188583
"746" "2023-02-16" 13319 188644
"747" "2023-02-17" 13511 188181
"748" "2023-02-18" 13709 187223
"749" "2023-02-19" 13912 185806
"750" "2023-02-20" 14114 183979
"751" "2023-02-21" 14308 181801
"752" "2023-02-22" 14485 179323
"753" "2023-02-23" 14633 176610
"754" "2023-02-24" 14737 173711
"755" "2023-02-25" 14781 170673
"756" "2023-02-26" 14750 167545
"757" "2023-02-27" 14631 164368
"758" "2023-02-28" 14412 161174
"759" "2023-03-01" 14089 158009
"760" "2023-03-02" 13663 154904
"761" "2023-03-03" 13142 151884
"762" "2023-03-04" 12541 148982
"763" "2023-03-05" 11880 146219
"764" "2023-03-06" 11184 143599
"765" "2023-03-07" 10477 141144
"766" "2023-03-08" 9784 138849
"767" "2023-03-09" 9127 136705
"768" "2023-03-10" 8522 134699
"769" "2023-03-11" 7980 132803
"770" "2023-03-12" 7507 130994
"771" "2023-03-13" 7103 129235
"772" "2023-03-14" 6762 127491
"773" "2023-03-15" 6477 125721
"774" "2023-03-16" 6237 123886
"775" "2023-03-17" 6031 121947
"776" "2023-03-18" 5851 119864
"777" "2023-03-19" 5686 117610
"778" "2023-03-20" 5530 115158
"779" "2023-03-21" 5377 112493
"780" "2023-03-22" 5223 109606
"781" "2023-03-23" 5066 106514
"782" "2023-03-24" 4904 103229
"783" "2023-03-25" 4737 99777
"784" "2023-03-26" 4565 96189
"785" "2023-03-27" 4389 92501
"786" "2023-03-28" 4210 88750
"787" "2023-03-29" 4031 84966
"788" "2023-03-30" 3851 81193
"789" "2023-03-31" 3672 77452
"790" "2023-04-01" 3496 73765
"791" "2023-04-02" 3324 70162
"792" "2023-04-03" 3157 66655
"793" "2023-04-04" 2996 63260
"794" "2023-04-05" 2842 59987
"795" "2023-04-06" 2697 56856
"796" "2023-04-07" 2561 53872
"797" "2023-04-08" 2437 51043
"798" "2023-04-09" 2324 48377
"799" "2023-04-10" 2224 45878
"800" "2023-04-11" 2136 43547
"801" "2023-04-12" 2061 41380
"802" "2023-04-13" 1998 39397
"803" "2023-04-14" 1945 37578
"804" "2023-04-15" 1903 35914
"805" "2023-04-16" 1869 34406
