"","condition","condition_subtype","group","IC50"
"684","BD55-5774","class 1","B",0.0132
"685","BD55-5775",NA,"D1",NA
"686","BD55-5779","class 3","E1",0.363
"687","BD55-5784","class 4","F1",1.93
"688","BD55-5785","class 4","F3",1.97
"689","BD55-5789","class 3","E2.2",0.19
"690","BD55-5790","class 4","F1",2.84
"691","BD55-5792","class 4","F2",0.364
"692","BD55-5794","class 4","F1",0.921
"693","BD55-5806",NA,"E3",NA
"694","BD55-5810","class 4","F3",0.174
"695","BD55-5811","class 1","B",0.0317
"696","BD55-5815","class 4","F1",0.648
"697","BD55-583",NA,"E3",NA
"698","BD55-5830","class 3","E3",1.27
"699","BD55-5831","class 4","F2",0.157
"700","BD55-5832","class 3","E1",0.0117
"701","BD55-5836","class 3","D1",0.399
"702","BD55-5839","class 4","F2",0.958
"703","BD55-5840","class 3","E1",0.00091
"704","BD55-5844","class 3","E2.2",0.131
"705","BD55-5847",NA,"F1",NA
"706","BD55-5853",NA,"F2",NA
"707","BD55-5854","class 2","C",0.0161
"708","BD55-5856","class 1","A",0.00186
"709","BD55-5858","class 3","E3",0.308
"710","BD55-5865",NA,"F3",NA
"711","BD55-5866",NA,"B",NA
"712","BD55-587",NA,"F1",NA
"713","BD55-5874","class 4","F2",0.0641
"714","BD55-5876",NA,"E2.2",NA
"715","BD55-5877",NA,"E3",NA
"716","BD55-5878","class 4","F2",0.0707
"717","BD55-5879","class 4","F1",1.8
"718","BD55-5880",NA,"A",NA
"719","BD55-5882",NA,"B",NA
"720","BD55-5884",NA,"F1",NA
"721","BD55-5885",NA,"F1",NA
"722","BD55-5886",NA,"F1",NA
"723","BD55-5887",NA,"B",NA
"724","BD55-5889","class 4","F1",1.72
"725","BD55-5891",NA,"E3",NA
"726","BD55-5892",NA,"E2.2",NA
"727","BD55-5895",NA,"A",NA
"728","BD55-5896",NA,"E2.2",NA
"729","BD55-5897",NA,"A",NA
"730","BD55-5898",NA,"E3",NA
"731","BD55-5900","class 4","F1",0.138
"732","BD55-5901",NA,"C",NA
"733","BD55-5902",NA,"E3",NA
"734","BD55-5903",NA,"B",NA
"735","BD55-5904",NA,"D1",NA
"736","BD55-5906","class 4","F3",0.0228
"737","BD55-5907",NA,"E2.2",NA
"738","BD55-5908",NA,"C",NA
"739","BD55-5909","class 2","C",0.108
"740","BD55-5912",NA,"B",NA
"741","BD55-5913",NA,"E2.2",NA
"742","BD55-5914",NA,"E3",NA
"743","BD55-5916",NA,"F1",NA
"744","BD55-5917",NA,"B",NA
"745","BD55-5918",NA,"C",NA
"746","BD55-5919",NA,"F2",NA
"747","BD55-5920",NA,"C",NA
"748","BD55-5921",NA,"D1",NA
"749","BD55-5923",NA,"A",NA
"750","BD55-5924",NA,"E2.2",NA
"751","BD55-5925",NA,"C",NA
"752","BD55-5927","class 4","F2",0.244
"753","BD55-593",NA,"E3",NA
"754","BD55-5930",NA,"D1",NA
"755","BD55-5931",NA,"E3",NA
"756","BD55-5933",NA,"F3",NA
"757","BD55-5935",NA,"F2",NA
"758","BD55-5936",NA,"E3",NA
"759","BD55-5938",NA,"E3",NA
"760","BD55-5939",NA,"D1",NA
"761","BD55-5940",NA,"F3",NA
"762","BD55-5941",NA,"C",NA
"763","BD55-5942",NA,"F1",NA
"764","BD55-5943",NA,"C",NA
"765","BD55-5945",NA,"F2",NA
"766","BD55-5946",NA,"D1",NA
"767","BD55-5948",NA,"C",NA
"768","BD55-5950",NA,"A",NA
"769","BD55-5952",NA,"E3",NA
"770","BD55-5953",NA,"F1",NA
"771","BD55-5955",NA,"B",NA
"772","BD55-5956",NA,"E3",NA
"773","BD55-5957",NA,"B",NA
"774","BD55-5959",NA,"F3",NA
"775","BD55-5961","class 4","F1",0.829
"776","BD55-5962",NA,"D1",NA
"777","BD55-5965",NA,"E2.2",NA
"778","BD55-5966","class 1","A",0.00517
"779","BD55-5967",NA,"C",NA
"780","BD55-5969",NA,"E3",NA
"781","BD55-5974",NA,"A",NA
"782","BD55-598",NA,"E2.2",NA
"783","BD55-5983",NA,"E3",NA
"784","BD55-5989",NA,"E2.2",NA
"785","BD55-599",NA,"E3",NA
"786","BD55-5992","class 3","E3",0.486
"787","BD55-5993",NA,"F2",NA
"788","BD55-5997",NA,"E3",NA
"789","BD55-600","class 1","A",0.0655
"790","BD55-6009",NA,"F1",NA
"791","BD55-6012",NA,"F1",NA
"792","BD55-6013",NA,"E2.2",NA
"793","BD55-6014",NA,"F2",NA
"794","BD55-6015","class 4","F2",0.432
"795","BD55-6016",NA,"E3",NA
"796","BD55-6017",NA,"E2.2",NA
"797","BD55-6018",NA,"F1",NA
"798","BD55-6019",NA,"F2",NA
"799","BD55-6020",NA,"E3",NA
"800","BD55-6022",NA,"F1",NA
"801","BD55-6024",NA,"F1",NA
"802","BD55-6025","class 4","F3",0.108
"803","BD55-6026",NA,"E2.2",NA
"804","BD55-6027",NA,"F1",NA
"805","BD55-6028",NA,"F1",NA
"806","BD55-6029",NA,"F1",NA
"807","BD55-603",NA,"F1",NA
"808","BD55-6030","class 4","F2",0.625
"809","BD55-6032",NA,"F1",NA
"810","BD55-6033","class 4","F2",1.17
"811","BD55-6034","class 4","F1",0.726
"812","BD55-6035",NA,"F1",NA
"813","BD55-6036",NA,"E3",NA
"814","BD55-6037","class 4","F1",0.454
"815","BD55-6038","class 4","F1",1.91
"816","BD55-6039",NA,"F2",NA
"817","BD55-6040",NA,"E2.2",NA
"818","BD55-6041","class 3","E3",1.37
"819","BD55-6043",NA,"E2.2",NA
"820","BD55-6044",NA,"F1",NA
"821","BD55-6049",NA,"E3",NA
"822","BD55-6050",NA,"E2.2",NA
"823","BD55-6051",NA,"F2",NA
"824","BD55-6052",NA,"F1",NA
"825","BD55-6053",NA,"E2.2",NA
"826","BD55-6054",NA,"F2",NA
"827","BD55-6055","class 4","F1",0.22
"828","BD55-6059",NA,"F1",NA
"829","BD55-606",NA,"D1",NA
"830","BD55-6060",NA,"F1",NA
"831","BD55-6061",NA,"E2.2",NA
"832","BD55-6062",NA,"F1",NA
"833","BD55-6063","class 4","F2",0.0701
"834","BD55-6064",NA,"F2",NA
"835","BD55-6066","class 4","F2",0.0309
"836","BD55-6068","class 4","F2",0.0315
"837","BD55-6069","class 4","F3",0.0506
"838","BD55-6071",NA,"E3",NA
"839","BD55-6074",NA,"F2",NA
"840","BD55-6075","class 4","F1",1.01
"841","BD55-6077",NA,"F1",NA
"842","BD55-6078","class 3","E2.2",0.707
"843","BD55-6079",NA,"F1",NA
"844","BD55-6080","class 4","F2",0.0157
"845","BD55-6081",NA,"E3",NA
"846","BD55-6083",NA,"F2",NA
"847","BD55-6086","class 4","F2",0.1
"848","BD55-6087",NA,"F2",NA
"849","BD55-6088","class 4","F2",0.0784
"850","BD55-6090",NA,"F2",NA
"851","BD55-6092","class 4","F2",0.637
"852","BD55-6095","class 4","F2",1.53
"853","BD55-6096",NA,"F3",NA
"854","BD55-6099",NA,"F2",NA
"855","BD55-6103","class 4","F2",0.611
"856","BD55-6105","class 4","F2",0.116
"857","BD55-6106",NA,"F3",NA
"858","BD55-6112","class 4","F3",1.86
"859","BD55-6130",NA,"E3",NA
"860","BD55-6158",NA,"E3",NA
"861","BD55-616",NA,"E2.2",NA
"862","BD55-6185",NA,"E3",NA
"863","BD55-6190","class 4","F2",0.0583
"864","BD55-6192",NA,"E3",NA
"865","BD55-6193",NA,"E3",NA
"866","BD55-6194",NA,"E3",NA
"867","BD55-6195","class 4","F3",0.0147
"868","BD55-6197","class 4","F2",0.138
"869","BD55-6199",NA,"E3",NA
"870","BD55-62","class 3",NA,NA
"871","BD55-6200",NA,"E3",NA
"872","BD55-6202",NA,"F1",NA
"873","BD55-6203","class 4","F3",0.0269
"874","BD55-6204",NA,"E3",NA
"875","BD55-6205",NA,"F1",NA
"876","BD55-6206","class 4","F3",0.0154
"877","BD55-6207",NA,"E3",NA
"878","BD55-6208","class 4","F3",0.0195
"879","BD55-6209",NA,"E3",NA
"880","BD55-6210",NA,"E3",NA
"881","BD55-6211",NA,"E3",NA
"882","BD55-6213",NA,"E3",NA
"883","BD55-6214",NA,"E3",NA
"884","BD55-6216",NA,"E3",NA
"885","BD55-6218",NA,"E2.2",NA
"886","BD55-6221",NA,"F1",NA
"887","BD55-6222","class 4","F1",0.355
"888","BD55-6223",NA,"F1",NA
"889","BD55-6224",NA,"F1",NA
"890","BD55-6227",NA,"F1",NA
"891","BD55-6229",NA,"E3",NA
"892","BD55-6231","class 4","F2",0.046
"893","BD55-6232",NA,"E3",NA
"894","BD55-6233",NA,"E2.2",NA
"895","BD55-6234","class 3","E3",0.658
"896","BD55-6236",NA,"F1",NA
"897","BD55-6240",NA,"F2",NA
"898","BD55-6241","class 3","E1",0.00492
"899","BD55-6243","class 4","F2",0.263
"900","BD55-6246",NA,"E3",NA
"901","BD55-6247",NA,"F1",NA
"902","BD55-6248",NA,"E3",NA
"903","BD55-6250",NA,"F1",NA
"904","BD55-6251","class 4","F2",0.0874
"905","BD55-6252",NA,"E2.2",NA
"906","BD55-6253",NA,"E3",NA
"907","BD55-6254",NA,"E3",NA
"908","BD55-6255",NA,"E2.2",NA
"909","BD55-6256",NA,"E3",NA
"910","BD55-6258",NA,"F1",NA
"911","BD55-6259",NA,"F1",NA
"912","BD55-6260",NA,"E3",NA
"913","BD55-6261","class 4","F3",0.02
"914","BD55-6262","class 4","F2",0.0358
"915","BD55-6263","class 4","F2",0.13
"916","BD55-6264",NA,"E2.2",NA
"917","BD55-6266",NA,"F1",NA
"918","BD55-6268",NA,"F2",NA
"919","BD55-6270",NA,"E3",NA
"920","BD55-6271",NA,"F1",NA
"921","BD55-6272",NA,"E2.2",NA
"922","BD55-6273",NA,"E2.2",NA
"923","BD55-6274",NA,"F2",NA
"924","BD55-6275",NA,"E3",NA
"925","BD55-6276",NA,"E3",NA
"926","BD55-6277",NA,"F1",NA
"927","BD55-6278",NA,"F2",NA
"928","BD55-6279",NA,"E3",NA
"929","BD55-6280",NA,"E3",NA
"930","BD55-6281",NA,"E2.2",NA
"931","BD55-6282",NA,"F2",NA
"932","BD55-6283","class 4","F2",0.148
"933","BD55-6284",NA,"E2.2",NA
"934","BD55-6286",NA,"E3",NA
"935","BD55-6287",NA,"E3",NA
"936","BD55-6288",NA,"E3",NA
"937","BD55-6289",NA,"E3",NA
"938","BD55-6290",NA,"E3",NA
"939","BD55-6291",NA,"E3",NA
"940","BD55-6292",NA,"F1",NA
"941","BD55-6293",NA,"E3",NA
"942","BD55-6294",NA,"E3",NA
"943","BD55-6295",NA,"F1",NA
"944","BD55-6296",NA,"E3",NA
"945","BD55-6297",NA,"F3",NA
"946","BD55-6298",NA,"F1",NA
"947","BD55-63","class 1",NA,NA
"948","BD55-6301",NA,"F1",NA
"949","BD55-6302",NA,"E3",NA
"950","BD55-6303",NA,"E2.2",NA
"951","BD55-6304",NA,"E3",NA
"952","BD55-6305","class 4","F2",0.0524
"953","BD55-6306","class 4","F2",0.158
"954","BD55-6307",NA,"E3",NA
"955","BD55-6308","class 4","F2",0.148
"956","BD55-6312",NA,"E2.2",NA
"957","BD55-6313",NA,"E3",NA
"958","BD55-6314",NA,"F2",NA
"959","BD55-6315",NA,"E3",NA
"960","BD55-6316",NA,"E3",NA
"961","BD55-6317","class 4","F2",0.431
"962","BD55-6318",NA,"F1",NA
"963","BD55-6319",NA,"F1",NA
"964","BD55-632","class 4","F2",0.662
"965","BD55-6320",NA,"F2",NA
"966","BD55-6323",NA,"F1",NA
"967","BD55-6325",NA,"E3",NA
"968","BD55-6326",NA,"E3",NA
"969","BD55-6327",NA,"F1",NA
"970","BD55-6328",NA,"E3",NA
"971","BD55-6329","class 4","F3",3.74
"972","BD55-6330",NA,"E3",NA
"973","BD55-6331",NA,"E2.2",NA
"974","BD55-6332",NA,"F1",NA
"975","BD55-6333",NA,"E3",NA
"976","BD55-6334",NA,"F1",NA
"977","BD55-6335",NA,"F3",NA
"978","BD55-6336",NA,"E3",NA
"979","BD55-6338",NA,"F2",NA
"980","BD55-6339",NA,"F2",NA
"981","BD55-6340","class 4","F3",0.222
"982","BD55-6341",NA,"E3",NA
"983","BD55-6342",NA,"E3",NA
"984","BD55-6343",NA,"E3",NA
"985","BD55-6345",NA,"F1",NA
"986","BD55-6346","class 3","E3",3.13
"987","BD55-6347",NA,"F3",NA
"988","BD55-6348",NA,"E3",NA
"989","BD55-6349",NA,"E3",NA
"990","BD55-6350",NA,"F2",NA
"991","BD55-6351",NA,"F1",NA
"992","BD55-6355",NA,"E3",NA
"993","BD55-6356",NA,"F2",NA
"994","BD55-6361",NA,"F2",NA
"995","BD55-6362",NA,"F1",NA
"996","BD55-6363",NA,"E3",NA
"997","BD55-6365",NA,"F1",NA
"998","BD55-6366",NA,"F1",NA
"999","BD55-6367",NA,"F1",NA
"1000","BD55-6368",NA,"F1",NA
"1001","BD55-6369",NA,"F1",NA
"1002","BD55-6370",NA,"F1",NA
"1003","BD55-6372",NA,"E3",NA
"1004","BD55-6373",NA,"F3",NA
"1005","BD55-6374",NA,"F1",NA
"1006","BD55-6375",NA,"F2",NA
"1007","BD55-6377",NA,"F1",NA
"1008","BD55-6379","class 4","F2",0.0816
"1009","BD55-6380",NA,"F1",NA
"1010","BD55-6382","class 1","B",0.00478
"1011","BD55-6383","class 1","B",0.0247
"1012","BD55-6384",NA,"E3",NA
"1013","BD55-6385","class 3","D1",0.0333
"1014","BD55-6386",NA,"C",NA
"1015","BD55-6387",NA,"B",NA
"1016","BD55-6388",NA,"B",NA
"1017","BD55-6389",NA,"C",NA
"1018","BD55-6390",NA,"B",NA
"1019","BD55-6391",NA,"E2.2",NA
"1020","BD55-6392","class 4","F2",0.384
"1021","BD55-6393",NA,"A",NA
"1022","BD55-6396",NA,"E2.2",NA
"1023","BD55-6398",NA,"E2.2",NA
"1024","BD55-6399",NA,"E2.2",NA
"1025","BD55-64","class 1",NA,NA
"1026","BD55-6401",NA,"E2.2",NA
"1027","BD55-6403",NA,"E3",NA
"1028","BD55-6404",NA,"F1",NA
"1029","BD55-6405",NA,"E2.2",NA
"1030","BD55-6406",NA,"F2",NA
"1031","BD55-6407",NA,"E3",NA
"1032","BD55-6408",NA,"F1",NA
"1033","BD55-6409",NA,"E2.2",NA
"1034","BD55-6410",NA,"E3",NA
"1035","BD55-6411","class 4","F3",0.0931
"1036","BD55-6412",NA,"E2.2",NA
"1037","BD55-6413","class 1","A",0.0965
"1038","BD55-6419",NA,"F1",NA
"1039","BD55-6421",NA,"E3",NA
"1040","BD55-6423",NA,"F2",NA
"1041","BD55-6425",NA,"E3",NA
"1042","BD55-6426",NA,"E2.2",NA
"1043","BD55-6427",NA,"E3",NA
"1044","BD55-6428",NA,"E3",NA
"1045","BD55-6429",NA,"F1",NA
"1046","BD55-6431",NA,"E1",NA
"1047","BD55-6432",NA,"F2",NA
"1048","BD55-6433",NA,"E3",NA
"1049","BD55-6434",NA,"E3",NA
"1050","BD55-6438",NA,"E2.2",NA
"1051","BD55-6441",NA,"E3",NA
"1052","BD55-6442",NA,"F1",NA
"1053","BD55-6444",NA,"E2.2",NA
"1054","BD55-6445",NA,"E3",NA
"1055","BD55-6446",NA,"E3",NA
"1056","BD55-6447","class 4","F3",0.336
"1057","BD55-6448",NA,"E3",NA
"1058","BD55-6449",NA,"E2.2",NA
"1059","BD55-645",NA,"F1",NA
"1060","BD55-6452",NA,"E3",NA
"1061","BD55-6453",NA,"E3",NA
"1062","BD55-6454",NA,"E3",NA
"1063","BD55-6455",NA,"F3",NA
"1064","BD55-6456",NA,"E3",NA
"1065","BD55-6457",NA,"F1",NA
"1066","BD55-6459",NA,"F3",NA
"1067","BD55-6460",NA,"E3",NA
"1068","BD55-6461",NA,"F2",NA
"1069","BD55-6463",NA,"E3",NA
"1070","BD55-6465",NA,"E3",NA
"1071","BD55-6466",NA,"F3",NA
"1072","BD55-6467",NA,"F3",NA
"1073","BD55-6468",NA,"E1",NA
"1074","BD55-6469",NA,"E3",NA
"1075","BD55-6470",NA,"E3",NA
"1076","BD55-6472",NA,"E3",NA
"1077","BD55-6473",NA,"E2.2",NA
"1078","BD55-6474",NA,"E3",NA
"1079","BD55-6475",NA,"E2.2",NA
"1080","BD55-6477","class 4","F3",3.13
"1081","BD55-6478","class 4","F3",0.0249
"1082","BD55-6479",NA,"F2",NA
"1083","BD55-6480",NA,"E2.2",NA
"1084","BD55-6481",NA,"E3",NA
"1085","BD55-6482",NA,"E2.2",NA
"1086","BD55-6485",NA,"E3",NA
"1087","BD55-6486","class 4","F2",0.0109
"1088","BD55-6488",NA,"F1",NA
"1089","BD55-6492",NA,"A",NA
"1090","BD55-6493",NA,"F2",NA
"1091","BD55-6494",NA,"E2.2",NA
"1092","BD55-6495",NA,"F1",NA
"1093","BD55-6497",NA,"E3",NA
"1094","BD55-6499",NA,"E2.2",NA
"1095","BD55-6502",NA,"F3",NA
"1096","BD55-6503",NA,"F1",NA
"1097","BD55-6504",NA,"E2.2",NA
"1098","BD55-6505",NA,"E2.2",NA
"1099","BD55-6507","class 4","F2",0.0338
"1100","BD55-6509",NA,"E3",NA
"1101","BD55-6510","class 4","F2",0.0573
"1102","BD55-6511","class 3","E2.2",0.337
"1103","BD55-6512",NA,"E2.2",NA
"1104","BD55-6514",NA,"F2",NA
"1105","BD55-6516",NA,"E2.2",NA
"1106","BD55-6517",NA,"F1",NA
"1107","BD55-6518",NA,"F1",NA
"1108","BD55-6520","class 4","F3",0.0278
"1109","BD55-6523",NA,"E3",NA
"1110","BD55-6526",NA,"F3",NA
"1111","BD55-6527","class 4","F3",1.74
"1112","BD55-6529",NA,"E3",NA
"1113","BD55-6531",NA,"C",NA
"1114","BD55-6534",NA,"E2.2",NA
"1115","BD55-6537",NA,"E2.2",NA
"1116","BD55-6538",NA,"E3",NA
"1117","BD55-6539",NA,"E3",NA
"1118","BD55-6540",NA,"E2.2",NA
"1119","BD55-6541",NA,"F1",NA
"1120","BD55-6543",NA,"F2",NA
"1121","BD55-6544",NA,"E3",NA
"1122","BD55-6546",NA,"E2.2",NA
"1123","BD55-6548",NA,"E3",NA
"1124","BD55-6550",NA,"F3",NA
"1125","BD55-6551",NA,"E3",NA
"1126","BD55-6552","class 4","F3",0.146
"1127","BD55-6553",NA,"E3",NA
"1128","BD55-6554",NA,"E2.2",NA
"1129","BD55-6555",NA,"F2",NA
"1130","BD55-6557",NA,"E3",NA
"1131","BD55-6558",NA,"E3",NA
"1132","BD55-6559",NA,"F2",NA
"1133","BD55-6560",NA,"E2.2",NA
"1134","BD55-6561",NA,"E2.2",NA
"1135","BD55-6563",NA,"E3",NA
"1136","BD55-6564","class 4","F2",0.487
"1137","BD55-6565",NA,"E2.2",NA
"1138","BD55-6566",NA,"E3",NA
"1139","BD55-6567",NA,"E3",NA
"1140","BD55-6569",NA,"E2.2",NA
"1141","BD55-6572",NA,"E3",NA
"1142","BD55-6573",NA,"E3",NA
"1143","BD55-6574",NA,"E3",NA
"1144","BD55-6575",NA,"F1",NA
"1145","BD55-6577",NA,"E3",NA
"1146","BD55-6578",NA,"F1",NA
"1147","BD55-6579",NA,"F3",NA
"1148","BD55-6580",NA,"F1",NA
"1149","BD55-6581",NA,"E2.2",NA
"1150","BD55-6583",NA,"E3",NA
"1151","BD55-6585","class 3","E3",1.66
"1152","BD55-6586",NA,"E2.2",NA
"1153","BD55-6588",NA,"F2",NA
"1154","BD55-6589",NA,"E3",NA
"1155","BD55-659","class 4","F2",0.0731
"1156","BD55-6591",NA,"E3",NA
"1157","BD55-6594",NA,"E3",NA
"1158","BD55-6595",NA,"E2.2",NA
"1159","BD55-6596",NA,"F1",NA
"1160","BD55-6597",NA,"E3",NA
"1161","BD55-6598",NA,"E3",NA
"1162","BD55-6600",NA,"E3",NA
"1163","BD55-6601",NA,"E2.2",NA
"1164","BD55-6602",NA,"E3",NA
"1165","BD55-6604",NA,"E3",NA
"1166","BD55-6607",NA,"E2.2",NA
"1167","BD55-6608",NA,"F1",NA
"1168","BD55-6610",NA,"E3",NA
"1169","BD55-6611",NA,"F1",NA
"1170","BD55-6612",NA,"E3",NA
"1171","BD55-6613",NA,"E2.2",NA
"1172","BD55-6614",NA,"E2.2",NA
"1173","BD55-6615",NA,"E3",NA
"1174","BD55-6616",NA,"E2.2",NA
"1175","BD55-6617",NA,"E3",NA
"1176","BD55-6618",NA,"E3",NA
"1177","BD55-6619",NA,"B",NA
"1178","BD55-6622",NA,"E2.2",NA
"1179","BD55-6623",NA,"F2",NA
"1180","BD55-6624",NA,"E3",NA
"1181","BD55-6626","class 4","F3",0.0986
"1182","BD55-6627",NA,"E2.2",NA
"1183","BD55-6629",NA,"F2",NA
"1184","BD55-663",NA,"E3",NA
"1185","BD55-6630",NA,"F2",NA
"1186","BD55-6632",NA,"F1",NA
"1187","BD55-6633",NA,"E2.2",NA
"1188","BD55-6634",NA,"E3",NA
"1189","BD55-6635",NA,"E2.2",NA
"1190","BD55-6636",NA,"F1",NA
"1191","BD55-6637","class 3","E2.2",1.59
"1192","BD55-6638","class 4","F3",0.124
"1193","BD55-6639",NA,"E3",NA
"1194","BD55-6640",NA,"E3",NA
"1195","BD55-6641",NA,"E3",NA
"1196","BD55-6642","class 4","F2",0.135
"1197","BD55-6644",NA,"E3",NA
"1198","BD55-6645",NA,"F1",NA
"1199","BD55-6646",NA,"F1",NA
"1200","BD55-6647","class 4","F2",0.178
"1201","BD55-6648",NA,"F1",NA
"1202","BD55-6649",NA,"F1",NA
"1203","BD55-6650",NA,"E3",NA
"1204","BD55-6651","class 4","F3",0.0338
"1205","BD55-6652",NA,"E3",NA
"1206","BD55-6653",NA,"F1",NA
"1207","BD55-6654",NA,"E1",NA
"1208","BD55-6657",NA,"E3",NA
"1209","BD55-6659",NA,"E2.2",NA
"1210","BD55-6660",NA,"E3",NA
"1211","BD55-6665",NA,"E3",NA
"1212","BD55-6666",NA,"E3",NA
"1213","BD55-6667",NA,"E3",NA
"1214","BD55-6668",NA,"F2",NA
"1215","BD55-6669",NA,"E2.2",NA
"1216","BD55-6670",NA,"E3",NA
"1217","BD55-6671",NA,"A",NA
"1218","BD55-6672",NA,"E2.2",NA
"1219","BD55-6673",NA,"E3",NA
"1220","BD55-6674",NA,"F1",NA
"1221","BD55-6677",NA,"E1",NA
"1222","BD55-6678",NA,"F3",NA
"1223","BD55-6679",NA,"E3",NA
"1224","BD55-6682",NA,"E3",NA
"1225","BD55-6683",NA,"E2.2",NA
"1226","BD55-6684",NA,"E3",NA
"1227","BD55-6685",NA,"F1",NA
"1228","BD55-6686",NA,"F1",NA
"1229","BD55-6687",NA,"F3",NA
"1230","BD55-6688",NA,"E3",NA
"1231","BD55-6689",NA,"E1",NA
"1232","BD55-6690",NA,"E2.2",NA
"1233","BD55-6691",NA,"F1",NA
"1234","BD55-6692",NA,"E3",NA
"1235","BD55-6693",NA,"E3",NA
"1236","BD55-6694",NA,"E2.2",NA
"1237","BD55-6695",NA,"F1",NA
"1238","BD55-6696",NA,"E2.2",NA
"1239","BD55-6697",NA,"F2",NA
"1240","BD55-6698",NA,"E2.2",NA
"1241","BD55-6699",NA,"F2",NA
"1242","BD55-6700",NA,"E2.2",NA
"1243","BD55-6701",NA,"F1",NA
"1244","BD55-6702",NA,"E3",NA
"1245","BD55-6703",NA,"F1",NA
"1246","BD55-6705",NA,"E3",NA
"1247","BD55-6706",NA,"E3",NA
"1248","BD55-6707",NA,"F1",NA
"1249","BD55-6708",NA,"F1",NA
"1250","BD55-6709",NA,"E3",NA
"1251","BD55-6710",NA,"E3",NA
"1252","BD55-6711",NA,"E3",NA
"1253","BD55-6712",NA,"E2.2",NA
"1254","BD55-6713",NA,"E3",NA
"1255","BD55-6714",NA,"E1",NA
"1256","BD55-6715",NA,"E2.2",NA
"1257","BD55-6718",NA,"E2.2",NA
"1258","BD55-6719",NA,"E3",NA
"1259","BD55-6720",NA,"E3",NA
"1260","BD55-6721",NA,"F1",NA
"1261","BD55-6722",NA,"F1",NA
"1262","BD55-6723",NA,"E1",NA
"1263","BD55-6724",NA,"F1",NA
"1264","BD55-6725",NA,"E2.2",NA
"1265","BD55-6726",NA,"E2.2",NA
"1266","BD55-6727",NA,"F2",NA
"1267","BD55-6728",NA,"F1",NA
"1268","BD55-6729",NA,"F1",NA
"1269","BD55-6730",NA,"E3",NA
"1270","BD55-676","class 4","F2",1.57
"1271","BD55-682",NA,"F2",NA
"1272","BD55-683",NA,"F2",NA
"1273","BD55-688","class 4","F2",1.33
"1274","BD55-696",NA,"E3",NA
"1275","BD55-711","class 4","F2",4
"1276","BD55-72","class 4",NA,NA
"1277","BD55-725",NA,"E3",NA
"1278","BD55-742",NA,"F1",NA
"1279","BD55-745",NA,"E3",NA
"1280","BD55-746","class 4","F1",0.807
"1281","BD55-747","class 4","F2",0.305
"1282","BD55-749","class 3","E3",1.04
"1283","BD55-75",NA,"A",NA
"1284","BD55-751","class 3","E3",1.68
"1285","BD55-767",NA,"E2.2",NA
"1286","BD55-78","class 4",NA,NA
"1287","BD55-81",NA,"C",NA
"1288","BD55-814",NA,"F2",NA
"1289","BD55-818",NA,"E2.2",NA
"1290","BD55-822","class 4","F2",0.123
"1291","BD55-824",NA,"C",NA
"1292","BD55-828",NA,"F1",NA
"1293","BD55-829",NA,"E2.2",NA
"1294","BD55-83","class 3",NA,NA
"1295","BD55-833",NA,"F3",NA
"1296","BD55-837",NA,"D1",NA
"1297","BD55-839",NA,"E3",NA
"1298","BD55-842",NA,"F1",NA
"1299","BD55-846",NA,"F1",NA
"1300","BD55-847",NA,"C",NA
"1301","BD55-85","class 1",NA,NA
"1302","BD55-852",NA,"C",NA
"1303","BD55-853",NA,"B",NA
"1304","BD55-854",NA,"B",NA
"1305","BD55-856",NA,"F3",NA
"1306","BD55-859",NA,"E2.2",NA
"1307","BD55-862",NA,"E2.1",NA
"1308","BD55-863",NA,"E3",NA
"1309","BD55-864",NA,"D1",NA
"1310","BD55-867",NA,"E3",NA
"1311","BD55-868",NA,"E3",NA
"1312","BD55-870",NA,"E2.2",NA
"1313","BD55-871",NA,"A",NA
"1314","BD55-873",NA,"F2",NA
"1315","BD55-874",NA,"F1",NA
"1316","BD55-875",NA,"F1",NA
"1317","BD55-876",NA,"E3",NA
"1318","BD55-878",NA,"E2.2",NA
"1319","BD55-879",NA,"F3",NA
"1320","BD55-880",NA,"E2.1",NA
"1321","BD55-885","class 4","F2",0.455
"1322","BD55-887",NA,"E2.2",NA
"1323","BD55-888",NA,"F1",NA
"1324","BD55-892",NA,"B",NA
"1325","BD55-893",NA,"E2.2",NA
"1326","BD55-898",NA,"F1",NA
"1327","BD55-899",NA,"E2.2",NA
"1328","BD55-902",NA,"E3",NA
"1329","BD55-903",NA,"A",NA
"1330","BD55-905",NA,"F1",NA
"1331","BD55-906",NA,"A",NA
"1332","BD55-910",NA,"A",NA
"1333","BD55-911",NA,"E3",NA
"1334","BD55-913",NA,"A",NA
"1335","BD55-914",NA,"F1",NA
"1336","BD55-917",NA,"C",NA
"1337","BD55-918",NA,"E2.2",NA
"1338","BD55-920",NA,"F1",NA
"1339","BD55-925",NA,"F1",NA
"1340","BD55-927",NA,"E2.2",NA
"1341","BD55-929",NA,"F2",NA
"1342","BD55-93",NA,"D1",NA
"1343","BD55-930",NA,"E2.2",NA
"1344","BD55-931",NA,"E2.2",NA
"1345","BD55-934",NA,"F1",NA
"1346","BD55-935",NA,"E2.1",NA
"1347","BD55-936",NA,"E3",NA
"1348","BD55-939",NA,"E2.1",NA
"1349","BD55-942",NA,"E3",NA
"1350","BD55-944",NA,"A",NA
"1351","BD55-947",NA,"D2",NA
"1352","BD55-948","class 4","F2",0.162
"1353","BD55-95","class 1",NA,NA
